1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1150513,3009943910,Rama Food Manufacture Corp,08/31/2021,Foods,21 CFR 1.506(e)(1),"Verification activity before import, periodically",You did not conduct and document or obtain documentation of one or more supplier verification activities before importing the food into the United States.
1150588,3009528637,Ceela Naturals,08/31/2021,Drugs,21 CFR 211.84(d)(1),Component identity verification,Drug product component testing is deficient in that at least one specific test to verify the identity of each component is not performed.
1150588,3009528637,Ceela Naturals,08/31/2021,Drugs,21 CFR 211.100(a),"Changes to Procedures Not Reviewed, Approved",Changes to written procedures are  not reviewed and approved by the quality control unit.
1150588,3009528637,Ceela Naturals,08/31/2021,Drugs,21 CFR 211.100(b),SOPs not followed / documented,Written production and process control procedures are not followed in the execution of production and process control functions.
1150588,3009528637,Ceela Naturals,08/31/2021,Drugs,21 CFR 211.125(a),Strict control not exercised over labeling issued,Strict control is not exercised over labeling issued for use in drug product labeling operations.
1150588,3009528637,Ceela Naturals,08/31/2021,Drugs,21 CFR 211.160(b),Scientifically sound laboratory controls,"Laboratory controls do not include the establishment of scientifically sound and appropriate test procedures designed to assure that drug products conform to appropriate standards of identity, strength, quality and purity."
1150713,1212021,"Cosmo's Food Products, Inc.",08/31/2021,Foods,21 CFR 114.100(b),Maintenance of processing and production records,You did not maintain processing records showing adherence to the scheduled process.
1150713,1212021,"Cosmo's Food Products, Inc.",08/31/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Sanitation,You did not clean and sanitize your utensils or equipment in a manner that protects against contamination.
1150713,1212021,"Cosmo's Food Products, Inc.",08/31/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for contamination of food.
1150940,3005667202,Virginia Fertility & IVF,08/31/2021,Human Tissue for Transplantation,21 CFR 1271.47(a),Design of procedures to ensure compliance,Procedures were not designed to ensure compliance with the donor eligibility requirements.
1150940,3005667202,Virginia Fertility & IVF,08/31/2021,Human Tissue for Transplantation,21 CFR 1271.50(a),Determination based on screening and testing,HCT/P donors were not determined to be eligible based on the results of donor screening and testing.
1151035,3007060268,"SDV Imports, Inc.",08/31/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1150149,1480916,Weber Family Farm,08/30/2021,Veterinary Medicine,21 CFR 507.19(e),Pest Control,You did not take effective measures to exclude pests from your plant.
1150149,1480916,Weber Family Farm,08/30/2021,Veterinary Medicine,21 CFR 507.25(b)(2),Contamination with Mycotoxins/Natural Toxins,You did not evaluate the ingredients susceptible to contamination with mycotoxins or other natural toxins in a manner that does not result in animal food that can cause injury or illness to animals or humans.
1150149,1480916,Weber Family Farm,08/30/2021,Veterinary Medicine,21 CFR 507.202(a),Record Requirements,"Your records are not accurate, indelible and legible and detailed to provide history of work performed."
1150149,1480916,Weber Family Farm,08/30/2021,Veterinary Medicine,21 CFR 507.202(b),Requirements Included on Record,"Your records do not include information adequate to identify the facility, the time the activity was documented, signature or initials of the person performing the activity and the lot code."
1150152,3012253303,Manzo Produce Llc,08/30/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1150181,1419793,"Killebrew Supply, DBA Cairo BBQ Sauce",08/30/2021,Foods,21 CFR 117.20(b),Plant Construction and Design,Your plant was not constructed to facilitate maintenance and sanitary operations.
1150181,1419793,"Killebrew Supply, DBA Cairo BBQ Sauce",08/30/2021,Foods,21 CFR 117.37,Sanitary Facilities and Control,Your plant did not have adequate sanitary facilities and accommodations.
1150233,3011714437,Maiko Corporation,08/30/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1150280,3010026561,Blue Stallion Brewing,08/30/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition.
1150280,3010026561,Blue Stallion Brewing,08/30/2021,Foods,21 CFR 117.35(c),Pest Control,You did not exclude pests from your food plant to protect against contamination of food.
1150497,1000125608,Green Foods Corporation,08/30/2021,Foods,21 CFR 111.103,Written procedures - quality control operations,You did not establish and follow written procedures for quality control operations.
1149910,1172343,Department of Veterans Affairs Medical Center Blood Bank,08/27/2021,Biologics,21 CFR 606.65,"Safe, sanitary, orderly storage","Failure to store all supplies and reagents used in the compatibility testing of blood and blood components in a safe, sanitary and orderly manner."
1149910,1172343,Department of Veterans Affairs Medical Center Blood Bank,08/27/2021,Biologics,21 CFR 606.140(b),Provisions to monitor lab test procedures & instruments,Failure to establish  adequate provisions for monitoring the performance of laboratory test procedures and instruments.
1149941,3011286951,Desert Farms LLC,08/27/2021,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis.
1149941,3011286951,Desert Farms LLC,08/27/2021,Foods,21 CFR 1.506(a)(1),Approved supplier procedures - importer established,You did not establish written procedures to ensure that you import foods only from approved foreign suppliers.
1149941,3011286951,Desert Farms LLC,08/27/2021,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1149941,3011286951,Desert Farms LLC,08/27/2021,Foods,21 CFR 1.506(d)(1)(i),Verification activity assurance,You did not document which verification activity or activities were needed to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1149944,1937815,R.D. Laboratories Inc.,08/27/2021,Drugs,21 CFR 211.22(a),"Authority lacking to review records, investigate errors",The quality control unit lacks authority  to fully investigate errors that have occurred.
1149944,1937815,R.D. Laboratories Inc.,08/27/2021,Drugs,21 CFR 211.22(d),"Procedures not  in writing, fully followed",The responsibilities and procedures applicable to the quality control unit are not in writing and fully followed.
1149944,1937815,R.D. Laboratories Inc.,08/27/2021,Drugs,21 CFR 211.58,Buildings not maintained in good state of repair,Buildings used in the processing of a drug product are not maintained in a good state of repair.
1149944,1937815,R.D. Laboratories Inc.,08/27/2021,Drugs,21 CFR 211.68(b),Computer control of master formula records,Appropriate controls are not exercised over computers or related systems to assure that changes in master production and control records or other records are instituted only by authorized personnel.
1149957,1000139129,"Don Juan International Foods, Inc",08/27/2021,Foods,21 CFR 123.6(b),No HACCP plan,You do not have a written HACCP plan that outlines controls for a food safety hazard that is reasonably likely to occur.
1149959,3006061158,Classic Fruit Company,08/27/2021,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document that you approved a foreign supplier based on an evaluation that you conducted of the foreign supplier's performance and the risk posed by a food or based on a review and assessment of another entity's evaluation of a foreign supplier's performance and the risk posed by a food.
1149959,3006061158,Classic Fruit Company,08/27/2021,Foods,21 CFR 1.506(d)(1)(i),Verification activity frequency,You did not document the frequency of conducting the verification activities to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1149961,3006700424,"Trinity Orthopedics, LLC",08/27/2021,Devices,21 CFR 820.30(c),Design input - documentation,Design input requirements were not adequately documented.
1149961,3006700424,"Trinity Orthopedics, LLC",08/27/2021,Devices,21 CFR 820.30(g),Design Validation - Risk analysis not performed/inadequate,Risk analysis is incomplete.
1149961,3006700424,"Trinity Orthopedics, LLC",08/27/2021,Devices,21 CFR 820.100(b),Documentation,Corrective and preventive action activities and/or results have not been adequately documented.
1149961,3006700424,"Trinity Orthopedics, LLC",08/27/2021,Devices,21 CFR 820.198(c),Investigation of device failures,Complaints involving the possible failure of a device and packaging to meet any of its specifications were not investigated where necessary.
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.15(b)(1),Physical plant - clean and sanitary,You did not maintain your physical plant in a clean and sanitary condition.
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.25(c),"Procedures - equipment - cleaning, sanitizing","You  did not establish written procedures for maintaining, cleaning, and sanitizing,  equipment, utensils, and any other contact surfaces that are used to manufacture, package, label, or hold components or dietary supplements."
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.75(b)(1),"Specifications met, in-process - quality finished batch","You did not monitor the in-process points, steps, or stages, where control is necessary to ensure that the quality of the finished batch of dietary supplement, to determine whether the in-process specifications are met."
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.75(c)(3),"Specifications met identity,purity, strength, comp,; basis","You did not provide adequate documentation of your basis for determining that compliance with the specification you selected for identity, purity, strength, and composition will ensure that the finished batch of dietary supplement meets the specification."
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.75(h)(2),"Tests, examinations - scientifically valid","You did not ensure that the tests or examinations that you used to determine whether the specifications are met are appropriate, scientifically valid methods."
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.113(b)(2),Quality control - reject; specification not met,Your quality control personnel did not reject a component and dietary supplement when an established specification was not met.
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.260(j),Batch record - manufacture,"Your batch production records did not include documentation, at the time of performance, of the manufacture of the batch."
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.315(a),Criteria for establishing specifications,You did not establish laboratory control processes for use of criteria for establishing appropriate specifications.
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.325(b)(2)(i),Document; laboratory methodology followed,The person who conducted the testing and examination did not document at the time of performance that established laboratory methodology was followed.
1150123,2016744,Pharmavite LLC dba Nature Made,08/27/2021,Foods,21 CFR 111.325(b)(2)(ii),Records - document; results,The documentation for laboratory tests and examinations did not include the results of the testing and examination.
1150128,3010483438,Mandy's Mood Foods LLC,08/27/2021,Foods,21 CFR 108.25(c)(2),Process filing,You did not provide FDA with information on the scheduled process for a new acidified food before packing the food.
1150128,3010483438,Mandy's Mood Foods LLC,08/27/2021,Foods,21 CFR 114.100(b),Maintenance of processing and production records,You did not maintain processing records showing adherence to the scheduled process.
1150128,3010483438,Mandy's Mood Foods LLC,08/27/2021,Foods,21 CFR 114.100(b),Processing and production - required information,The processing records do not contain sufficient additional information such as container size to permit a public health hazard evaluation of the processes applied to each lot of production.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 108.25(c)(1),Registration,"You did not register and file Form FDA 2541 (food canning establishment registration) with FDA within 10 days after first engaging in the manufacture, processing and packaging of acidified foods."
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 108.25(c)(2),Process filing,You did not provide FDA with information on the scheduled process for a new acidified food before packing the food.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.135(c)(3),Sanitation Controls Procedures,Your sanitation controls procedures did not ensure prevention of allergen cross-contact.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.145(a),Process Controls Monitoring Procedures: Establish Implement,You did not establish adequate written procedures for monitoring process controls.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.145(b),Sanitation Controls - Monitoring Frequency,Your sanitation controls monitoring frequency was not adequate.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.145(c)(1),Sanitation Controls - Monitoring Records,You did not have sanitation controls monitoring records.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.150(a)(2),Process Controls Corrective Action Procedures - Content,Your corrective action procedures for process controls were not adequate.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.150(a)(2),Sanitation Controls Corrective Action Procedures - Content,Your corrective action procedures for sanitation controls were not adequate.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.155(b),Sanitation Controls - Verification Records,You did not have sanitation controls verification records.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.165(b),Process Controls Verif Procedures: Establish Implement,You did not establish and implement adequate written process controls verification procedures.
1150154,3004326898,Barbara's Orchard/Delicae Gourmet,08/27/2021,Foods,21 CFR 117.405(a)(1),Supply-Chain Program Establish and Implement,You did not establish and implement a written supply-chain program.
1150171,3017458186,"Michael D. Leise, M.D., Clinical Investigator",08/27/2021,Bioresearch Monitoring,21 CFR 50.25(a)(1),"Procedures, identification of those which were experimental",The informed consent document did not contain a description of the procedures to be followed.
1150171,3017458186,"Michael D. Leise, M.D., Clinical Investigator",08/27/2021,Devices,21 CFR 812.100,Investigator non-compliance with agreement/plan/regulations,"An investigation was not conducted according to the signed agreement, investigational plan and applicable FDA regulations."
1150248,3000215275,"Trio Roma Bakery, Inc.",08/27/2021,Foods,21 CFR 117.4,Training of employees and records,You did not train employees in the principles of food hygiene and food safety and have records documenting training of qualified individuals.
1150248,3000215275,"Trio Roma Bakery, Inc.",08/27/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition and keep your plant in repair.
1150248,3000215275,"Trio Roma Bakery, Inc.",08/27/2021,Foods,21 CFR 117.35(b)(1),Cleaning and sanitizing substances- safe and adequate,You did not ensure that your cleaning compounds and sanitizing agents are safe and adequate under the conditions of use.
1150370,1823291,"Weston Foods US, LLC",08/27/2021,Foods,21 CFR 117.37,Sanitary Facilities and Control,Your plant did not have adequate sanitary facilities and accommodations.
1150370,1823291,"Weston Foods US, LLC",08/27/2021,Foods,21 CFR 117.150(a)(1),Sanitation Controls Corrective Action Proced: Estab Implemnt,You did not establish and implement adequate written corrective action procedures for sanitation controls.
1150487,1220592,"Hobbs Medical, Inc.",08/27/2021,Devices,21 CFR 820.70(a),Production processes,Production processes were not controlled to ensure that a device conforms to its specifications.
1150487,1220592,"Hobbs Medical, Inc.",08/27/2021,Devices,21 CFR 820.181,DMR - not or inadequately maintained,A device master record has not been adequately maintained.
1150487,1220592,"Hobbs Medical, Inc.",08/27/2021,Devices,21 CFR 820.184,DHR - not or inadequately maintained,A device history record has not been adequately maintained.
1148538,3011442459,Import39 LLC,08/26/2021,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis.
1148538,3011442459,Import39 LLC,08/26/2021,Foods,21 CFR 1.504(d),Document review entity's hazard analysis,You did not document your review and assessment of a hazard analysis conducted by another entity and that a hazard analysis conducted by another entity was conducted by a qualified individual.
1148538,3011442459,Import39 LLC,08/26/2021,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document that you approved a foreign supplier based on an evaluation that you conducted of the foreign supplier's performance and the risk posed by a food or based on a review and assessment of another entity's evaluation of a foreign supplier's performance and the risk posed by a food.
1148538,3011442459,Import39 LLC,08/26/2021,Foods,21 CFR 1.506(a)(1),"Approved supplier procedures - follow, document use",You did not follow and document your use of written procedures to ensure that you import foods only from approved foreign suppliers.
1148538,3011442459,Import39 LLC,08/26/2021,Foods,21 CFR 1.506(d)(3),"Verification activity - another entity, qualified individual",You did not document that another entity's determination of appropriate foreign supplier verification activities was made by a qualified individual.
1148538,3011442459,Import39 LLC,08/26/2021,Foods,21 CFR 1.506(e)(1)(i)(D),Audit - document,"For an onsite audit, you did not retain documentation of the audit procedures, of any corrective actions taken in response to significant deficiencies identified during the audit and that the audit was conducted by a qualified auditor."
1149274,3015346126,"gimMe Health Foods, Inc.",08/26/2021,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document that you approved a foreign supplier based on an evaluation that you conducted of the foreign supplier's performance and the risk posed by a food or based on a review and assessment of another entity's evaluation of a foreign supplier's performance and the risk posed by a food.
1149508,3004580384,Caljava International,08/26/2021,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not identify a hazard that requires a control.
1149508,3004580384,Caljava International,08/26/2021,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document that you approved a foreign supplier based on an evaluation that you conducted of the foreign supplier's performance and the risk posed by a food or based on a review and assessment of another entity's evaluation of a foreign supplier's performance and the risk posed by a food.
1149836,3004403843,Hector L. Pagan (DBA) H-P & ASOCIADOS,08/26/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149841,1034072,M.E. Thompson Inc.,08/26/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for contamination of food.
1149841,1034072,M.E. Thompson Inc.,08/26/2021,Foods,21 CFR 117.145(a),Process Controls Monitoring Procedures: Establish Implement,You did not establish and implement adequate written procedures for monitoring process controls.
1149841,1034072,M.E. Thompson Inc.,08/26/2021,Foods,21 CFR 123.6(b),HACCP plan implementation,You did not implement the monitoring procedures listed in your HACCP plan.
1149841,1034072,M.E. Thompson Inc.,08/26/2021,Foods,21 CFR 123.6(c)(2),Critical control points,Your HACCP plan does not list one or more critical control points that are necessary for each of the identified food safety hazards.
1149841,1034072,M.E. Thompson Inc.,08/26/2021,Foods,21 CFR 123.11(b),Sanitation monitoring,"You are not monitoring the sanitation conditions and practices with sufficient frequency to assure conformance with Current Good Manufacturing Practices including condition and cleanliness of food contact surfaces, protection of food, food packaging material, and food contact surfaces from adulteration and proper labeling, storage and use of toxic chemicals."
1149879,3015443141,"DARI Motion, Inc.",08/26/2021,Devices,21 CFR 820.20(c),Management review - Lack of or inadequate procedures,Procedures for management review have not been adequately established.
1149879,3015443141,"DARI Motion, Inc.",08/26/2021,Devices,21 CFR 820.22,Quality audits - Lack of or inadequate procedures,Procedures for quality audits have not been adequately established.
1149879,3015443141,"DARI Motion, Inc.",08/26/2021,Devices,21 CFR 820.25(b),Training - Lack of or inadequate procedures,Procedures for training and identifying training needs have not been established.
1149879,3015443141,"DARI Motion, Inc.",08/26/2021,Devices,21 CFR 820.30(a),Design control - no procedures,Procedures for design control have not been established.
1149879,3015443141,"DARI Motion, Inc.",08/26/2021,Devices,21 CFR 820.80(a),Lack of or inadequate procedures - Acceptance activities,Procedures for acceptance activities have not been established.
1149879,3015443141,"DARI Motion, Inc.",08/26/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been established.
1149879,3015443141,"DARI Motion, Inc.",08/26/2021,Devices,21 CFR 820.181,DMR - not or inadequately maintained,A device master record has not been adequately maintained.
1149879,3015443141,"DARI Motion, Inc.",08/26/2021,Devices,21 CFR 820.198(a),Lack of or inadequate complaint procedures,"Procedures for receiving, reviewing, and evaluating complaints by a formally designated unit have not been established."
1149894,3003019581,"Marich Confectionery Company, Inc.",08/26/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition.
1149894,3003019581,"Marich Confectionery Company, Inc.",08/26/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls","You did not conduct operations under conditions and controls necessary to minimize the potential for growth of microorganisms, allergen cross-contact and contamination of food."
1149896,3009800828,"Creative Bioscience, LLC",08/26/2021,Foods,21 CFR 111.75(h)(2),"Tests, examinations - scientifically valid","You did not ensure that the tests or examinations that you used to determine whether the specifications are met are appropriate, scientifically valid methods."
1149896,3009800828,"Creative Bioscience, LLC",08/26/2021,Foods,21 CFR 111.95(b)(2),Documentation - supplier qualification,You did not make and keep documentation of your qualification of a supplier.
1149896,3009800828,"Creative Bioscience, LLC",08/26/2021,Foods,21 CFR 111.105(a),"Processes, specifications, written procedures","Your quality control personnel did not approve or reject specifications, written procedures, tests and examinations that may affect the identity, purity, strength, or composition of a dietary supplement."
1149896,3009800828,"Creative Bioscience, LLC",08/26/2021,Foods,21 CFR 111.140(b)(1),"QC ops; written procedures; material review, disposition",You did not make and keep written procedures for the responsibilities of the quality control operations for conducting a material review and making a disposition decision.
1149896,3009800828,"Creative Bioscience, LLC",08/26/2021,Foods,21 CFR 111.140(b)(2)(ii),"Signature; review, approval, rejection; reprocessing","Your written documentation that quality control personnel reviewed, approved, or rejected for reprocessing did not include the signature of the person performing the review, approval, or rejection."
1149896,3009800828,"Creative Bioscience, LLC",08/26/2021,Foods,21 CFR 111.165(c)(3),Product received - quality control; approve,Your quality control personnel did not approve quarantined received product for packaging and labeling as a dietary supplement.
1149896,3009800828,"Creative Bioscience, LLC",08/26/2021,Foods,21 CFR 111.165(d)(1),Product received - identify,You did not identify each unique lot within each unique shipment of received product in a manner that allows you to trace the lot to the product that you packaged or labeled and distributed as a dietary supplement.
1149948,3004232615,Nishimoto Trading Inc,08/26/2021,Foods,21 CFR 123.6(c)(3),Critical limits,Your HACCP plan lists a critical limit that does not ensure control of one or more hazards.
1150113,3015141543,V&M MESSENGER SERVICES INC,08/26/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1150162,1819504,Mead Johnson Nutrition,08/26/2021,Foods,21 CFR 113.40(c)(1)(v),"TID not accurately, easily read",A temperature-indicating device was not installed where it could be accurately and easily read.
1150162,1819504,Mead Johnson Nutrition,08/26/2021,Foods,21 CFR 113.40(g)(2)(ii)(C),"Operating conditions observed, recorded - frequency",Observation and measurement of an operating condition was not recorded at intervals of sufficient frequency to ensure that commercial sterility of the food product was being achieved.
1150162,1819504,Mead Johnson Nutrition,08/26/2021,Foods,21 CFR 113.100(a),Critical factors - no record,A record was not was not made of a critical factor specified in the scheduled process.
1150235,3011586203,Jerez Produce Inc.,08/26/2021,Veterinary Medicine,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1150299,3003450538,"Washington Crab & Seafood Company, Inc.",08/26/2021,Foods,21 CFR 123.8(a)(2)(ii),Calibration - adequacy,Your process monitoring equipment is not calibrated to ensure that it reads accurately.
1150496,2015936,"Colony Products Company, Inc.",08/26/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Sanitation,You did not clean and sanitize your utensils or equipment in a manner that protects against contamination.
1150496,2015936,"Colony Products Company, Inc.",08/26/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1148282,3012736430,RIGOBERTO MARTIN CAMPOS,08/25/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149340,3011779750,"PDLA, Inc. dba Primo Growers & Distributors",08/25/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149726,3004569219,"La Baguette, Inc",08/25/2021,Foods,21 CFR 117.10,Personnel,You did not take a reasonable measure and precaution related to personnel practices.
1149726,3004569219,"La Baguette, Inc",08/25/2021,Foods,21 CFR 117.20(b),Plant Construction and Design,Your plant was not constructed to facilitate maintenance and sanitary operations.
1149726,3004569219,"La Baguette, Inc",08/25/2021,Foods,21 CFR 117.35(c),Pest Control,You did not exclude pests from your food plant to protect against contamination of food.
1149726,3004569219,"La Baguette, Inc",08/25/2021,Foods,21 CFR 117.40(f),Instruments and Controls,Your instruments and controls were not adequately maintained.
1149726,3004569219,"La Baguette, Inc",08/25/2021,Foods,21 CFR 117.80(b)(8),Raw Materials - Allergen Identification,"You did not identify and hold raw materials and other ingredients that are food allergens, and rework that contains food allergens, in a manner that protects against allergen cross-contact."
1149726,3004569219,"La Baguette, Inc",08/25/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for allergen cross-contact and contamination of food.
1149726,3004569219,"La Baguette, Inc",08/25/2021,Foods,21 CFR 117.80(c)(8),Process Control - Foreign Objects,You did not take an adequate measure to protect against inclusion of metal or extraneous material in food.
1149730,3014901099,Arizona Nutritional Supplements LLC,08/25/2021,Foods,21 CFR 111.10(b),Personnel - hygienic practices,"Your personnel did not use hygienic practices to the extent necessary to protect against contamination of components, dietary supplements, or contact surfaces."
1149730,3014901099,Arizona Nutritional Supplements LLC,08/25/2021,Foods,21 CFR 111.27(d),Equipment - maintain - general,"You did not maintain, clean and sanitize equipment, utensils, and contact surfaces used to manufacture, package, label, or hold components or dietary supplements."
1149730,3014901099,Arizona Nutritional Supplements LLC,08/25/2021,Foods,21 CFR 111.75(c),Specifications met - verify; finished batch,You did not verify that your finished batch of dietary supplement meets product specifications for limits on contamination that may adulterate or that may lead to adulteration of the dietary supplement.
1149730,3014901099,Arizona Nutritional Supplements LLC,08/25/2021,Foods,21 CFR 111.205(a),Master manufacturing record - each batch,You did not prepare and follow a written master manufacturing record for each batch size of a dietary supplement that you manufactured.
1149730,3014901099,Arizona Nutritional Supplements LLC,08/25/2021,Foods,21 CFR 111.210(h)(2),"Master manufacturing record - sampling, tests, examinations",The written instructions in your master manufacturing record did not include a cross-reference to procedures for tests or examinations.
1149737,3013235786,"DESHI DISTRIBUTORS, LLC",08/25/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149772,3015872435,"SafePath Medical, Inc.",08/25/2021,Devices,21 CFR 820.50(a),"Evaluation of suppliers, contractors, etc., requirements",Requirements that must be met by contractors have not been adequately established.
1149772,3015872435,"SafePath Medical, Inc.",08/25/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1149772,3015872435,"SafePath Medical, Inc.",08/25/2021,Devices,21 CFR 820.184,Lack of or inadequate DHR procedures,Procedures for device history records have not been adequately established.
1149777,3015908234,SUN SING TRADING INC.,08/25/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1149808,1611470,La India Packing Co,08/25/2021,Foods,21 CFR 123.6(b),HACCP plan implementation,You did not implement the monitoring and recordkeeping procedures listed in your HACCP plan.
1149808,1611470,La India Packing Co,08/25/2021,Foods,21 CFR 123.11(c),Sanitation Records,"You are not maintaining sanitation control records that document monitoring and corrections of sanitation deficiencies for condition and cleanliness of food contact surfaces, prevention of cross-contamination from insanitary objects, protection of food, food packaging material, and food contact surfaces from adulteration, proper labeling, storage and use of toxic chemicals and control of employee health conditions."
1149828,3004318385,Stern Produce Company Inc.,08/25/2021,Foods,21 CFR 123.6(c)(2),Critical control points,Your HACCP plan does not list one or more critical control points that are necessary for each of the identified food safety hazards.
1149828,3004318385,Stern Produce Company Inc.,08/25/2021,Foods,21 CFR 123.6(c)(4),Monitoring - adequacy,Your HACCP plan lists monitoring procedures that do not ensure compliance with the critical limit.
1149864,3002751965,"Baltic Marketing, Inc.",08/25/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1150000,3015937270,DMD Medical Group,08/25/2021,Devices,21 CFR 803.17,Lack of Written MDR Procedures,Written MDR procedures have not been developed.
1150000,3015937270,DMD Medical Group,08/25/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been established.
1150000,3015937270,DMD Medical Group,08/25/2021,Devices,21 CFR 820.198(a),Lack of or inadequate complaint procedures,"Procedures for receiving, reviewing, and evaluating complaints by a formally designated unit have not been established."
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 803.17(a)(1),Lack of System for Event Evaluations,"The written MDR Procedure does not include an internal system which provides for timely and effective identification, communication and evaluation of events that may be subject to medical device reporting requirements."
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 803.50(a)(1),Report of Death or Serious Injury,An MDR report was not submitted within 30 days of receiving or otherwise becoming aware of information that reasonably suggests that a marketed device may have caused or contributed to a death or serious injury.
1150061,2515872,DeVilbiss Healthcare LLC,08/25/2021,Devices,21 CFR 820.30(f),Design verification - output does not meet input requirement,Design verification does not confirm that design output meets design input requirements.
